"player_name","position","minutes_played","national_team","team","foot","age","weight","height","air_challenges_won_percent","air_challenges_won_percent_p90","air_challenges_won_percent_p90_percentil","air_challenges_won_percent_p90_norm","defensive_challenges_won_percent","defensive_challenges_won_percent_p90","defensive_challenges_won_percent_p90_percentil","defensive_challenges_won_percent_p90_norm","accurate_passes_percent","accurate_passes_percent_p90","accurate_passes_percent_p90_percentil","accurate_passes_percent_p90_norm","key_passes_accurate_p90","key_passes_accurate_p90_percentil","key_passes_accurate_p90_norm","fouls_p90","fouls_suffered_p90","fouls_p90_percentil","fouls_suffered_p90_percentil","fouls_p90_norm","fouls_suffered_p90_norm","score"
"John Stones","CD",1200,"England","Man City","Right",27,70,188,0.8,0.8,1,0.8,83.1325301204819,0.83,1,0.83,0.93,0.93,0.88,0.93,0,0,0,-0.15,0.52,0,0.55,1,0.423728813559322,0.87
"Ethan Rupert Pinnock","CD",2912,"Jamaica","Brentford","Left",28,79,194,0.7,0.7,0.72,0.7,75.2238805970149,0.75,0.95,0.75,0.79,0.79,0.1,0.79,0.22,0.9,0.785714285714286,-0.25,0.46,0.05,0.5,0.902912621359223,0.372881355932203,0.87
"Raphael Varane","CD",1977,"France","Man United","Right",29,81,191,0.74,0.74,0.88,0.74,70.9876543209877,0.71,0.62,0.71,0.91,0.91,0.75,0.91,0.14,0.8,0.5,-0.18,0.32,0.02,0.32,0.970873786407767,0.254237288135593,0.86
"Antonio Rudiger","CD",3271,"Germany","Chelsea","Right",29,85,190,0.74,0.74,0.88,0.74,71.7557251908397,0.72,0.75,0.72,0.91,0.91,0.75,0.91,0.22,0.9,0.785714285714286,-0.94,0.33,0.85,0.38,0.233009708737864,0.26271186440678,0.84
"Harry Maguire","CD",2714,"England","Man United","Right",29,100,194,0.78,0.78,0.98,0.78,73.8095238095238,0.74,0.9,0.74,0.89,0.89,0.6,0.89,0.07,0.55,0.25,-0.66,0.63,0.52,0.75,0.504854368932039,0.516949152542373,0.84
"Aymeric Laporte","CD",3026,"Spain","Man City","Left",28,86,189,0.65,0.65,0.35,0.65,73.6842105263158,0.74,0.9,0.74,0.96,0.96,1,0.96,0.09,0.65,0.321428571428571,-0.39,0.3,0.2,0.28,0.766990291262136,0.23728813559322,0.83
"Eric Dier","CD",3303,"England","Tottenham","Right",28,63,188,0.64,0.64,0.32,0.64,68.9189189189189,0.69,0.5,0.69,0.9,0.9,0.65,0.9,0.16,0.85,0.571428571428571,-0.33,0.25,0.12,0.2,0.825242718446602,0.194915254237288,0.83
"M. Guehi","CD",3475,"England","Crystal Palace","Right",21,82,182,0.68,0.68,0.6,0.68,73.1617647058823,0.73,0.8,0.73,0.9,0.9,0.65,0.9,0.08,0.58,0.285714285714286,-0.31,0.93,0.08,0.95,0.844660194174757,0.771186440677966,0.83
"Victor Lindelof","CD",2539,"Sweden","Man United","Right",27,80,187,0.71,0.71,0.8,0.71,72.7748691099476,0.73,0.8,0.73,0.9,0.9,0.65,0.9,0.11,0.72,0.392857142857143,-0.64,0.21,0.48,0.12,0.524271844660194,0.161016949152542,0.83
"K. Ajer","CD",2148,"Norway","Brentford","Right",24,92,198,0.61,0.61,0.15,0.61,67.5824175824176,0.68,0.42,0.68,0.76,0.76,0.03,0.76,0.25,0.95,0.892857142857143,-0.38,0.71,0.18,0.82,0.776699029126213,0.584745762711864,0.83
"Ruben Dias","CD",2586,"Portugal","Man City","Right",25,76,186,0.62,0.62,0.2,0.62,66.839378238342,0.67,0.3,0.67,0.95,0.95,0.98,0.95,0.28,1,1,-0.94,0.24,0.85,0.15,0.233009708737864,0.186440677966102,0.82
"Gabriel Magalhaes","CD",3308,"Brazil","Arsenal","Left",24,78,190,0.7,0.7,0.72,0.7,74.8062015503876,0.75,0.95,0.75,0.91,0.91,0.75,0.91,0.03,0.28,0.107142857142857,-0.57,1.01,0.42,0.98,0.592233009708738,0.838983050847458,0.82
"N. Collins","CD",1805,"Republic of Ireland","Burnley","Right",21,0,193,0.69,0.69,0.7,0.69,71.25,0.71,0.62,0.71,0.76,0.76,0.03,0.76,0.25,0.95,0.892857142857143,-0.95,0.65,0.93,0.8,0.223300970873786,0.533898305084746,0.82
"Jamaal Lascelles","CD",2240,"-","Newcastle Utd.","Right",28,89,188,0.74,0.74,0.88,0.74,71.7514124293785,0.72,0.75,0.72,0.8,0.8,0.12,0.8,0.08,0.58,0.285714285714286,-0.68,0.16,0.55,0.03,0.485436893203883,0.11864406779661,0.82
"Benjamin White","CD",3123,"England","Arsenal","Both",24,78,186,0.63,0.63,0.25,0.63,65.3333333333333,0.65,0.17,0.65,0.87,0.87,0.45,0.87,0.14,0.8,0.5,-0.52,0.72,0.35,0.88,0.640776699029126,0.593220338983051,0.81
"Joachim Andersen","CD",3143,"Denmark","Crystal Palace","Right",25,90,192,0.65,0.65,0.35,0.65,66.6666666666667,0.67,0.3,0.67,0.85,0.85,0.32,0.85,0.11,0.72,0.392857142857143,-0.49,0.26,0.3,0.22,0.669902912621359,0.203389830508475,0.81
"Maximilian Kilman","CD",2944,"-","Wolverhampton","Left",25,0,195,0.68,0.68,0.6,0.68,70.4545454545455,0.7,0.58,0.7,0.88,0.88,0.48,0.88,0.06,0.4,0.214285714285714,-0.52,0.34,0.35,0.4,0.640776699029126,0.271186440677966,0.81
"Kurt Happy Zouma","CD",2245,"-","West Ham","Right",27,96,190,0.67,0.67,0.52,0.67,71.1409395973154,0.71,0.62,0.71,0.9,0.9,0.65,0.9,0,0,0,-0.32,0.28,0.1,0.25,0.834951456310679,0.220338983050847,0.81
"James Alan Tarkowski","CD",3320,"England","Burnley","Right",29,81,185,0.67,0.67,0.52,0.67,73.4463276836158,0.73,0.8,0.73,0.77,0.77,0.07,0.77,0.16,0.85,0.571428571428571,-0.76,0.52,0.68,0.55,0.407766990291262,0.423728813559322,0.81
"Trevoh Chalobah","CD",1560,"-","Chelsea","Right",22,0,190,0.68,0.68,0.6,0.68,67.0520231213873,0.67,0.3,0.67,0.93,0.93,0.88,0.93,0.12,0.78,0.428571428571428,-0.92,0.92,0.78,0.92,0.252427184466019,0.76271186440678,0.8
"A. Christensen","CD",1620,"Denmark","Chelsea","Right",26,82,187,0.65,0.65,0.35,0.65,67.9558011049724,0.68,0.42,0.68,0.93,0.93,0.88,0.93,0.06,0.4,0.214285714285714,-0.56,0.39,0.4,0.42,0.601941747572815,0.313559322033898,0.8
"Davinson Sanchez","CD",1777,"Colombia","Tottenham","Right",25,81,187,0.67,0.67,0.52,0.67,66.1375661375661,0.66,0.25,0.66,0.91,0.91,0.75,0.91,0.1,0.68,0.357142857142857,-0.66,0.61,0.52,0.68,0.504854368932039,0.5,0.8
"Tyrone Mings","CD",3492,"England","Aston Villa","Left",29,77,196,0.68,0.68,0.6,0.68,70,0.7,0.58,0.7,0.84,0.84,0.25,0.84,0.08,0.58,0.285714285714286,-0.7,0.62,0.58,0.7,0.466019417475728,0.508474576271186,0.8
"Michael Keane","CD",3020,"England","Everton","Right",29,82,188,0.65,0.65,0.35,0.65,66.4670658682635,0.66,0.25,0.66,0.83,0.83,0.2,0.83,0.06,0.4,0.214285714285714,-0.42,0.24,0.22,0.15,0.737864077669903,0.186440677966102,0.8
"Ben Gibson","CD",2683,"-","Norwich","Left",29,78,185,0.63,0.63,0.25,0.63,72.9281767955801,0.73,0.8,0.73,0.85,0.85,0.32,0.85,0,0,0,-0.34,0.3,0.15,0.28,0.815533980582524,0.23728813559322,0.8
"Adam Webster","CD",1546,"-","Brighton","Right",27,75,190,0.77,0.77,0.95,0.77,70.9459459459459,0.71,0.62,0.71,0.85,0.85,0.32,0.85,0,0,0,-0.93,0.17,0.8,0.05,0.242718446601942,0.127118644067797,0.79
"S. Karim","CD",3221,"Ghana","Southampton","Left",23,82,191,0.71,0.71,0.8,0.71,68.7203791469194,0.69,0.5,0.69,0.83,0.83,0.2,0.83,0.06,0.4,0.214285714285714,-0.95,0.17,0.93,0.05,0.223300970873786,0.127118644067797,0.79
"Jan Kacper Bednarek","CD",2840,"Poland","Southampton","Right",26,77,189,0.7,0.7,0.72,0.7,67.2077922077922,0.67,0.3,0.67,0.86,0.86,0.42,0.86,0.06,0.4,0.214285714285714,-0.92,0.48,0.78,0.52,0.252427184466019,0.389830508474576,0.78
"Ezri Konsa Ngoyo","CD",2690,"-","Aston Villa","Right",24,77,183,0.61,0.61,0.15,0.61,65.4054054054054,0.65,0.17,0.65,0.89,0.89,0.6,0.89,0,0,0,-0.54,1.2,0.38,1,0.621359223300971,1,0.77
"Mason Holgate","CD",2318,"-","Everton","Right",25,70,187,0.73,0.73,0.85,0.73,67.8111587982833,0.68,0.42,0.68,0.75,0.75,0,0.75,0,0,0,-0.97,0.58,0.95,0.65,0.203883495145631,0.474576271186441,0.77
"Samir","CD",1780,"Brazil","Watford","Left",27,73,188,0.66,0.66,0.5,0.66,69.377990430622,0.69,0.5,0.69,0.84,0.84,0.25,0.84,0,0,0,-0.81,0.81,0.7,0.9,0.359223300970874,0.669491525423729,0.77
"W. Troost-Ekong","CD",1517,"Nigeria","Watford","Right",28,82,191,0.62,0.62,0.2,0.62,64.9484536082474,0.65,0.17,0.65,0.84,0.84,0.25,0.84,0.06,0.4,0.214285714285714,-0.71,0.18,0.6,0.1,0.45631067961165,0.135593220338983,0.77
"C. Romero","CD",1984,"-","Tottenham","Right",24,79,185,0.65,0.65,0.35,0.65,71.2550607287449,0.71,0.62,0.71,0.88,0.88,0.48,0.88,0.05,0.38,0.178571428571429,-1.18,0.64,1,0.78,0,0.525423728813559,0.76
"Caglar Soyuncu","CD",2689,"Turkey","Leicester","Right",26,82,187,0.63,0.63,0.25,0.63,66.6666666666667,0.67,0.3,0.67,0.88,0.88,0.48,0.88,0,0,0,-0.74,0.44,0.62,0.48,0.427184466019417,0.355932203389831,0.76
"B. Davies","CD",2737,"Wales","Tottenham","Left",29,76,181,0.65,0.65,0.35,0.65,63.0705394190871,0.63,0.15,0.63,0.88,0.88,0.48,0.88,0.03,0.28,0.107142857142857,-0.95,0.62,0.93,0.7,0.223300970873786,0.508474576271186,0.76
"Daniel Amartey","CD",2289,"Ghana","Leicester","Right",27,79,186,0.57,0.57,0.07,0.57,60.5555555555556,0.61,0.07,0.61,0.93,0.93,0.88,0.93,0,0,0,-0.47,0.39,0.28,0.42,0.689320388349514,0.313559322033898,0.76
"Ben Godfrey","CD",2194,"-","Everton","Right",24,74,184,0.57,0.57,0.07,0.57,62.2549019607843,0.62,0.1,0.62,0.81,0.81,0.15,0.81,0.04,0.32,0.142857142857143,-0.62,0.53,0.45,0.62,0.543689320388349,0.432203389830508,0.75
"Conor Coady","CD",3678,"England","Wolverhampton","Right",29,75,185,0.54,0.54,0.03,0.54,57.8947368421053,0.58,0.03,0.58,0.91,0.91,0.75,0.91,0,0,0,-0.46,0.02,0.25,0,0.699029126213592,0,0.74
"Pascal Struijk","CD",2252,"-","Leeds United","Left",22,79,190,0.6,0.6,0.12,0.6,61.5658362989324,0.62,0.1,0.62,0.88,0.88,0.48,0.88,0,0,0,-0.92,0.32,0.78,0.32,0.252427184466019,0.254237288135593,0.73
"Diego Llorente","CD",2523,"Spain","Leeds United","Right",28,75,186,0.53,0.53,0,0.53,60.4430379746835,0.6,0.05,0.6,0.85,0.85,0.32,0.85,0.04,0.32,0.142857142857143,-0.75,0.71,0.65,0.82,0.41747572815534,0.584745762711864,0.73
"Robin Koch","CD",1717,"Germany","Leeds United","Right",25,85,191,0.55,0.55,0.05,0.55,50.7389162561576,0.51,0,0.51,0.82,0.82,0.17,0.82,0.1,0.68,0.357142857142857,-1.1,0.52,0.97,0.55,0.0776699029126212,0.423728813559322,0.71
